chr1	260614	*
chr1	349265	*
chr1	668900	*
chr1	760590	*
chr1	948803	+
chr1	995138	*
chr1	996258	*
chr1	1103057	*
chr1	1137268	*
chr1	1146293	*
chr1	1203714	*
chr1	1489727	*
chr1	2103432	*
chr1	2183859	*
chr1	2203233	*
chr1	2224643	*
chr1	2245585	*
chr1	2333039	*
chr1	2430027	*
chr1	3695794	*
chr1	3856533	*
chr1	6113658	*
chr1	6204694	*
chr1	9061562	*
chr1	9131786	+
chr1	9255280	*
chr1	9379057	*
chr1	9380396	*
chr1	9832843	*
chr1	11087607	*
chr1	11159926	+
chr1	11188586	*
chr1	11865993	+
chr1	11889437	*
chr1	12651136	*
chr1	12683105	*
chr1	14103286	*
chr1	14403255	*
chr1	14661075	*
chr1	15121401	*
chr1	16302574	+
chr1	16514386	*
chr1	16701983	*
chr1	17067438	*
chr1	17281135	*
chr1	17410845	*
chr1	17760681	*
chr1	17992606	*
chr1	18987651	*
chr1	19051648	*
chr1	19052194	*
chr1	20136593	*
chr1	21319732	*
chr1	22392155	*
chr1	22577852	*
chr1	23352395	*
chr1	23476204	*
chr1	24977451	*
chr1	25393375	*
chr1	25411614	*
chr1	26099519	*
chr1	26161242	*
chr1	26590847	*
chr1	27216751	+
chr1	27226729	+
chr1	27324170	*
chr1	27445034	*
chr1	27806339	*
chr1	27980654	*
chr1	28241024	+
chr1	28403558	*
chr1	28559536	+
chr1	29079597	*
chr1	29224942	*
chr1	29236421	*
chr1	31127010	*
chr1	31211663	*
chr1	31492399	*
chr1	31507836	*
chr1	31519238	*
chr1	32105870	*
chr1	32581264	*
chr1	33054039	*
chr1	35332193	*
chr1	35544968	+
chr1	35652733	*
chr1	36061671	*
chr1	36723526	*
chr1	36930038	+
chr1	38019945	+
chr1	38680216	*
chr1	38957834	*
chr1	38983646	*
chr1	39976262	*
chr1	40562888	+
chr1	41472566	*
chr1	42131970	*
chr1	42921938	+
chr1	43168941	*
chr1	43312244	+
chr1	44889331	*
chr1	44966371	*
chr1	45124285	*
chr1	45452259	+
chr1	46147905	*
chr1	46773867	*
chr1	47134036	+
chr1	48246829	*
chr1	50964553	*
chr1	51397987	*
chr1	51446104	*
chr1	51791625	+
chr1	51978570	*
chr1	52499488	+
chr1	53392901	+
chr1	53396317	*
chr1	53776815	*
chr1	54172077	*
chr1	54518865	+
chr1	54693650	*
chr1	55079954	*
chr1	55247313	*
chr1	59766979	*
chr1	62907030	*
chr1	63796098	*
chr1	63833261	+
chr1	64381562	*
chr1	65357074	*
chr1	65844555	*
chr1	65892630	*
chr1	66454986	*
chr1	66759264	*
chr1	67679538	*
chr1	69723578	*
chr1	70476587	*
chr1	70675126	*
chr1	70687079	+
chr1	70908977	*
chr1	74663831	+
chr1	76257901	*
chr1	76262567	+
chr1	76754158	*
chr1	80930668	*
chr1	84767289	+
chr1	85050302	*
chr1	85508875	*
chr1	86432818	*
chr1	86523138	*
chr1	88497583	*
chr1	90496752	*
chr1	90970548	*
chr1	91472226	*
chr1	92477226	*
chr1	92545862	+
chr1	93822144	*
chr1	93896695	*
chr1	94344720	+
chr1	95392779	+
chr1	97219341	*
chr1	99115005	*
chr1	100162982	*
chr1	101053524	*
chr1	103489168	*
chr1	104021589	*
chr1	105062187	*
chr1	106433790	*
chr1	107599301	+
chr1	108613514	*
chr1	108822907	*
chr1	109419603	+
chr1	109506072	+
chr1	110456446	*
chr1	112095488	*
chr1	113495671	*
chr1	114490462	*
chr1	114657704	*
chr1	115212656	+
chr1	115323298	+
chr1	116935149	*
chr1	117131561	*
chr1	117274711	*
chr1	118703190	*
chr1	122147554	*
chr1	123426878	*
chr1	123513193	*
chr1	123676973	*
chr1	125984882	*
chr1	129792557	*
chr1	132438066	*
chr1	140554735	*
chr1	141915095	*
chr1	142436444	*
chr1	143902023	*
chr1	143950870	*
chr1	143987894	*
